model,threshold,cost,true_negatives,false_positives,false_negatives,true_positives,precision,recall,f1
Logistic Regression,0.05,3532.0,0,3532,0,968,0.21511111111111111,1.0,0.35405998536942207
Logistic Regression,0.05497076023391813,3531.0,1,3531,0,968,0.21515892420537897,1.0,0.35412474849094566
Logistic Regression,0.05994152046783626,3531.0,1,3531,0,968,0.21515892420537897,1.0,0.35412474849094566
Logistic Regression,0.0649122807017544,3528.0,4,3528,0,968,0.21530249110320285,1.0,0.35431918008784774
Logistic Regression,0.06988304093567252,3524.0,8,3524,0,968,0.21549421193232413,1.0,0.3545787545787546
Logistic Regression,0.07485380116959064,3520.0,12,3520,0,968,0.21568627450980393,1.0,0.3548387096774194
Logistic Regression,0.07982456140350877,3514.0,18,3514,0,968,0.21597501115573406,1.0,0.3552293577981651
Logistic Regression,0.0847953216374269,3507.0,25,3507,0,968,0.21631284916201118,1.0,0.35568620246187765
Logistic Regression,0.08976608187134502,3501.0,31,3501,0,968,0.21660326695010068,1.0,0.356078719882288
Logistic Regression,0.09473684210526315,3494.0,43,3489,1,967,0.21701077199281868,0.9989669421487604,0.35656342182890854
Logistic Regression,0.09970760233918129,3488.0,54,3478,2,966,0.21737173717371738,0.9979338842975206,0.35698447893569846
Logistic Regression,0.10467836257309941,3471.0,71,3461,2,966,0.21820646035690083,0.9979338842975206,0.35810936051899905
Logistic Regression,0.10964912280701754,3459.0,83,3449,2,966,0.2187995469988675,0.9979338842975206,0.3589076723016905
Logistic Regression,0.11461988304093566,3451.0,101,3431,4,964,0.2193401592718999,0.9958677685950413,0.359500279694201
Logistic Regression,0.1195906432748538,3427.0,125,3407,4,964,0.2205444978265843,0.9958677685950413,0.36111631391646376
Logistic Regression,0.12456140350877193,3413.0,144,3388,5,963,0.22132843024592047,0.9948347107438017,0.36209813874788493
Logistic Regression,0.12953216374269005,3398.0,164,3368,6,962,0.22217090069284065,0.993801652892562,0.3631559078897697
Logistic Regression,0.13450292397660818,3391.0,176,3356,7,961,0.2226082927959231,0.9927685950413223,0.36367076631977296
Logistic Regression,0.1394736842105263,3377.0,190,3342,7,961,0.22333255867999072,0.9927685950413223,0.36463669132991844
Logistic Regression,0.14444444444444443,3360.0,212,3320,8,960,0.22429906542056074,0.9917355371900827,0.36585365853658536
Logistic Regression,0.14941520467836256,3341.0,236,3296,9,959,0.22538190364277322,0.9907024793388429,0.3672219031208118
Logistic Regression,0.15438596491228068,3332.0,255,3277,11,957,0.22602739726027396,0.9886363636363636,0.3679354094579008
Logistic Regression,0.1593567251461988,3324.0,278,3254,14,954,0.2267110266159696,0.9855371900826446,0.3686244204018547
Logistic Regression,0.16432748538011693,3315.0,297,3235,16,952,0.22737043229042272,0.9834710743801653,0.3693501454898157
Logistic Regression,0.16929824561403506,3304.0,318,3214,18,950,0.2281460134486071,0.981404958677686,0.37022603273577553
Logistic Regression,0.1742690058479532,3291.0,341,3191,20,948,0.2290408311186277,0.9793388429752066,0.3712551400039162
Logistic Regression,0.1792397660818713,3264.0,373,3159,21,947,0.23063809059912324,0.9783057851239669,0.3732755222703981
Logistic Regression,0.1842105263157895,3237.0,400,3132,21,947,0.23216474626133857,0.9783057851239669,0.37527243907271646
Logistic Regression,0.18918128654970762,3231.0,421,3111,24,944,0.23279901356350186,0.9752066115702479,0.37587099343022096
Logistic Regression,0.19415204678362574,3229.0,443,3089,28,940,0.2333085132787292,0.9710743801652892,0.37622573544126475
Logistic Regression,0.19912280701754387,3207.0,475,3057,30,938,0.23479349186483103,0.96900826446281,0.37799717912552894
Logistic Regression,0.204093567251462,3193.0,509,3023,34,934,0.23603740207227697,0.9648760330578512,0.3792893401015228
Logistic Regression,0.20906432748538012,3185.0,532,3000,37,931,0.23683541083693715,0.9617768595041323,0.38007756685037763
Logistic Regression,0.21403508771929824,3150.0,572,2960,38,930,0.2390745501285347,0.9607438016528925,0.38287361053931657
Logistic Regression,0.21900584795321637,3103.0,634,2898,41,927,0.24235294117647058,0.9576446280991735,0.38681410390152304
Logistic Regression,0.2239766081871345,3061.0,676,2856,41,927,0.24504361617763679,0.9576446280991735,0.39023363502420544
Logistic Regression,0.22894736842105262,3052.0,705,2827,45,923,0.24613333333333334,0.9535123966942148,0.39126748622297586
Logistic Regression,0.23391812865497075,3035.0,742,2790,49,919,0.24777568077648962,0.9493801652892562,0.3929869574513577
Logistic Regression,0.23888888888888887,3011.0,776,2756,51,917,0.24965967873672748,0.9473140495867769,0.3951734539969834
Logistic Regression,0.243859649122807,2985.0,812,2720,53,915,0.2517193947730399,0.9452479338842975,0.39756680425809254
Logistic Regression,0.24883040935672512,2957.0,855,2677,56,912,0.2541097798829758,0.9421487603305785,0.40026333113890716
Logistic Regression,0.25380116959064325,2925.0,892,2640,57,911,0.2565474514221346,0.9411157024793388,0.4031865456959504
Logistic Regression,0.2587719298245614,2918.0,924,2608,62,906,0.2578258394991463,0.9359504132231405,0.4042838018741633
Logistic Regression,0.2637426900584795,2904.0,963,2569,67,901,0.2596541786743516,0.9307851239669421,0.4060387561964849
Logistic Regression,0.2687134502923976,2873.0,1004,2528,69,899,0.26232856725999415,0.9287190082644629,0.40910125142207054
Logistic Regression,0.27368421052631575,2850.0,1037,2495,71,897,0.2644457547169811,0.9266528925619835,0.4114678899082569
Logistic Regression,0.2786549707602339,2831.0,1086,2446,77,891,0.26700629307761464,0.9204545454545454,0.4139372822299652
Logistic Regression,0.283625730994152,2814.0,1133,2399,83,885,0.2694884287454324,0.9142561983471075,0.41627469426152397
Logistic Regression,0.28859649122807013,2825.0,1172,2360,93,875,0.2704791344667697,0.9039256198347108,0.41636926005234354
Logistic Regression,0.2935672514619883,2839.0,1208,2324,103,865,0.27124490435873316,0.893595041322314,0.41616550396920854
Logistic Regression,0.29853801169590644,2826.0,1256,2276,110,858,0.2737715379706445,0.8863636363636364,0.4183325207215992
Logistic Regression,0.3035087719298245,2789.0,1298,2234,111,857,0.2772565512779036,0.8853305785123967,0.42227149544222714
Logistic Regression,0.30847953216374263,2780.0,1347,2185,119,849,0.27982860909690177,0.8770661157024794,0.424287856071964
Logistic Regression,0.31345029239766076,2764.0,1373,2159,121,847,0.28176979374584166,0.875,0.42627075993960745
Logistic Regression,0.31842105263157894,2759.0,1413,2119,128,840,0.28387968908415007,0.8677685950413223,0.42780748663101603
Logistic Regression,0.32339181286549706,2737.0,1445,2087,130,838,0.2864957264957265,0.8657024793388429,0.43051631132802465
Logistic Regression,0.3283625730994152,2711.0,1486,2046,133,835,0.2898299201666088,0.862603305785124,0.43387892959210184
Logistic Regression,0.3333333333333333,2715.0,1527,2005,142,826,0.2917696926880961,0.8533057851239669,0.43485127665175044
Logistic Regression,0.33830409356725144,2682.0,1570,1962,144,824,0.29576453697056715,0.8512396694214877,0.43899840170484816
Logistic Regression,0.34327485380116957,2671.0,1601,1931,148,820,0.2980734278444202,0.8471074380165289,0.4409787577305727
Logistic Regression,0.3482456140350877,2677.0,1640,1892,157,811,0.30003699593044764,0.8378099173553719,0.4418414600926178
Logistic Regression,0.3532163742690058,2675.0,1687,1845,166,802,0.3029845107669059,0.8285123966942148,0.4437067773167358
Logistic Regression,0.35818713450292394,2667.0,1710,1822,169,799,0.304845478824876,0.8254132231404959,0.44524937308442464
Logistic Regression,0.36315789473684207,2690.0,1742,1790,180,788,0.3056633048875097,0.8140495867768595,0.4444444444444444
Logistic Regression,0.3681286549707602,2681.0,1771,1761,184,784,0.30805500982318273,0.8099173553719008,0.44634215769997154
Logistic Regression,0.3730994152046783,2677.0,1810,1722,191,777,0.31092436974789917,0.8026859504132231,0.4482261321026824
Logistic Regression,0.37807017543859645,2697.0,1840,1692,201,767,0.3119154127694185,0.7923553719008265,0.44762182667055733
Logistic Regression,0.38304093567251457,2706.0,1866,1666,208,760,0.31327287716405605,0.7851239669421488,0.4478491455509723
Logistic Regression,0.3880116959064327,2701.0,1901,1631,214,754,0.3161425576519916,0.7789256198347108,0.44974649567551445
Logistic Regression,0.3929824561403508,2692.0,1935,1597,219,749,0.3192668371696505,0.7737603305785123,0.452021726010863
Logistic Regression,0.39795321637426895,2701.0,1961,1571,226,742,0.32079550367488113,0.7665289256198347,0.452301127704968
Logistic Regression,0.4029239766081871,2700.0,1987,1545,231,737,0.3229623137598598,0.7613636363636364,0.45353846153846156
Logistic Regression,0.4078947368421052,2732.0,2005,1527,241,727,0.3225377107364685,0.7510330578512396,0.4512725015518312
Logistic Regression,0.4128654970760233,2720.0,2032,1500,244,724,0.3255395683453237,0.7479338842975206,0.45363408521303256
Logistic Regression,0.41783625730994145,2731.0,2056,1476,251,717,0.32694938440492477,0.7407024793388429,0.4536539069914584
Logistic Regression,0.42280701754385963,2706.0,2091,1441,253,715,0.33163265306122447,0.7386363636363636,0.45774647887323944
Logistic Regression,0.42777777777777776,2707.0,2115,1417,258,710,0.3338034790785143,0.7334710743801653,0.4588045234248788
Logistic Regression,0.4327485380116959,2709.0,2138,1394,263,705,0.3358742258218199,0.7283057851239669,0.4597326377567656
Logistic Regression,0.437719298245614,2721.0,2161,1371,270,698,0.3373610439826003,0.7210743801652892,0.4596641422456371
Logistic Regression,0.44269005847953213,2718.0,2194,1338,276,692,0.34088669950738915,0.7148760330578512,0.4616410940627085
Logistic Regression,0.44766081871345026,2714.0,2213,1319,279,689,0.3431274900398406,0.7117768595041323,0.46303763440860213
Logistic Regression,0.4526315789473684,2751.0,2236,1296,291,677,0.34313228585909783,0.6993801652892562,0.46038762325739546
